Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,8,0.61,0.9099999999999999,0.3420420931546126
100% Corpus,8,0.61,symmetric,0.3658219326541055
100% Corpus,8,0.9099999999999999,0.01,0.36228751055408615
100% Corpus,8,0.9099999999999999,0.31,0.3627627875512045
100% Corpus,8,0.9099999999999999,0.61,0.35113680909734546
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.33238628094740136
100% Corpus,8,0.9099999999999999,symmetric,0.3520129944447972
100% Corpus,8,symmetric,0.01,0.40030948271936356
100% Corpus,8,symmetric,0.31,0.3973610057364322
100% Corpus,8,symmetric,0.61,0.38673391899271065
100% Corpus,8,symmetric,0.9099999999999999,0.39548723180944567
100% Corpus,8,symmetric,symmetric,0.4118950680278465
100% Corpus,8,asymmetric,0.01,0.3890854035915734
100% Corpus,8,asymmetric,0.31,0.3948713961048375
100% Corpus,8,asymmetric,0.61,0.41817879042490524
100% Corpus,8,asymmetric,0.9099999999999999,0.4107606285562283
100% Corpus,8,asymmetric,symmetric,0.3873681184806661
100% Corpus,9,0.01,0.01,0.37788850868239265
100% Corpus,9,0.01,0.31,0.3637472719436572
100% Corpus,9,0.01,0.61,0.3728778948652195
100% Corpus,9,0.01,0.9099999999999999,0.4582230749309435
100% Corpus,9,0.01,symmetric,0.37913168745991105
100% Corpus,9,0.31,0.01,0.379976284420396
100% Corpus,9,0.31,0.31,0.3637435330774601
100% Corpus,9,0.31,0.61,0.385055590642668
100% Corpus,9,0.31,0.9099999999999999,0.40180986395810325
100% Corpus,9,0.31,symmetric,0.37490379579100863
100% Corpus,9,0.61,0.01,0.376078010121862
100% Corpus,9,0.61,0.31,0.36369804953997553
100% Corpus,9,0.61,0.61,0.4020900311681066
100% Corpus,9,0.61,0.9099999999999999,0.42909458244589277
100% Corpus,9,0.61,symmetric,0.3686468846244696
100% Corpus,9,0.9099999999999999,0.01,0.37979825614085716
100% Corpus,9,0.9099999999999999,0.31,0.3744845644737725
100% Corpus,9,0.9099999999999999,0.61,0.42633620112186765
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.4194358497597955
100% Corpus,9,0.9099999999999999,symmetric,0.36948296802050545
100% Corpus,9,symmetric,0.01,0.3825207366731743
100% Corpus,9,symmetric,0.31,0.36251170371638575
100% Corpus,9,symmetric,0.61,0.40941141661079944
100% Corpus,9,symmetric,0.9099999999999999,0.43212434604014954
100% Corpus,9,symmetric,symmetric,0.3753727240138979
100% Corpus,9,asymmetric,0.01,0.3794420873846944
100% Corpus,9,asymmetric,0.31,0.3750910765194691
100% Corpus,9,asymmetric,0.61,0.37987804319078416
100% Corpus,9,asymmetric,0.9099999999999999,0.3969798350753172
100% Corpus,9,asymmetric,symmetric,0.3645240687916064
100% Corpus,10,0.01,0.01,0.4039225967737236
100% Corpus,10,0.01,0.31,0.4286473400743427
100% Corpus,10,0.01,0.61,0.39299676054804655
100% Corpus,10,0.01,0.9099999999999999,0.36259274771319483
100% Corpus,10,0.01,symmetric,0.40726987980544377
100% Corpus,10,0.31,0.01,0.4275443176560514
100% Corpus,10,0.31,0.31,0.38682988911344396
100% Corpus,10,0.31,0.61,0.4025739958462157
100% Corpus,10,0.31,0.9099999999999999,0.4136136230089125
100% Corpus,10,0.31,symmetric,0.3903893939180478
100% Corpus,10,0.61,0.01,0.38198182251192847
100% Corpus,10,0.61,0.31,0.3799896697019396
100% Corpus,10,0.61,0.61,0.37379950832266295
100% Corpus,10,0.61,0.9099999999999999,0.43217392595510107
100% Corpus,10,0.61,symmetric,0.38793760804054034
100% Corpus,10,0.9099999999999999,0.01,0.3771141886335073
100% Corpus,10,0.9099999999999999,0.31,0.4037921716283144
100% Corpus,10,0.9099999999999999,0.61,0.376845943430936
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.4278104371592222
100% Corpus,10,0.9099999999999999,symmetric,0.36170027954807493
100% Corpus,10,symmetric,0.01,0.4208705143759735
100% Corpus,10,symmetric,0.31,0.4248713169358723
100% Corpus,10,symmetric,0.61,0.3883633439493107
100% Corpus,10,symmetric,0.9099999999999999,0.34454518203219064
100% Corpus,10,symmetric,symmetric,0.4113879344167515
100% Corpus,10,asymmetric,0.01,0.4042325858244354
100% Corpus,10,asymmetric,0.31,0.42347990600695784
100% Corpus,10,asymmetric,0.61,0.41622869409608965
100% Corpus,10,asymmetric,0.9099999999999999,0.373581210941737
100% Corpus,10,asymmetric,symmetric,0.4063352712959019
